fleet_id,current_location,capacity,current_capacity_used,package_id,destination,weight,priority,assigned
FLEET1,Mumbai,1000,200,PKG1,Delhi,150,High,1
FLEET2,Delhi,1200,300,PKG2,Bangalore,200,Medium,1
FLEET3,Bangalore,900,100,PKG3,Chennai,100,Low,1
FLEET4,Chennai,1100,400,PKG4,Hyderabad,250,Urgent,1
FLEET5,Hyderabad,950,150,PKG5,Pune,180,Medium,1
FLEET6,Pune,1050,250,PKG6,Ahmedabad,170,High,1
FLEET7,Ahmedabad,1000,200,PKG7,Surat,160,Low,1
FLEET8,Surat,1200,300,PKG8,Jaipur,210,Medium,1
FLEET9,Jaipur,900,100,PKG9,Lucknow,120,High,1
FLEET10,Lucknow,1100,400,PKG10,Kanpur,230,Urgent,1
FLEET11,Kanpur,950,150,PKG11,Nagpur,190,Medium,1
FLEET12,Nagpur,1050,250,PKG12,Indore,180,High,1
FLEET13,Indore,1000,200,PKG13,Bhopal,170,Low,1
FLEET14,Bhopal,1200,300,PKG14,Visakhapatnam,220,Medium,1
FLEET15,Visakhapatnam,900,100,PKG15,Kochi,130,High,1
FLEET16,Kochi,1100,400,PKG16,Coimbatore,240,Urgent,1
FLEET17,Coimbatore,950,150,PKG17,Mysore,200,Medium,1
FLEET18,Mysore,1050,250,PKG18,Mumbai,190,High,1
FLEET19,Mumbai,1000,200,PKG19,Delhi,180,Low,1
FLEET20,Delhi,1200,300,PKG20,Bangalore,230,Medium,1
FLEET21,Bangalore,900,100,PKG21,Chennai,140,High,1
FLEET22,Chennai,1100,400,PKG22,Hyderabad,250,Urgent,1
FLEET23,Hyderabad,950,150,PKG23,Pune,180,Medium,1
FLEET24,Pune,1050,250,PKG24,Ahmedabad,170,High,1
FLEET25,Ahmedabad,1000,200,PKG25,Surat,160,Low,1
FLEET26,Surat,1200,300,PKG26,Jaipur,210,Medium,1
FLEET27,Jaipur,900,100,PKG27,Lucknow,120,High,1
FLEET28,Lucknow,1100,400,PKG28,Kanpur,230,Urgent,1
FLEET29,Kanpur,950,150,PKG29,Nagpur,190,Medium,1
FLEET30,Nagpur,1050,250,PKG30,Indore,180,High,1
FLEET31,Indore,1000,200,PKG31,Bhopal,170,Low,1
FLEET32,Bhopal,1200,300,PKG32,Visakhapatnam,220,Medium,1
FLEET33,Visakhapatnam,900,100,PKG33,Kochi,130,High,1
FLEET34,Kochi,1100,400,PKG34,Coimbatore,240,Urgent,1
FLEET35,Coimbatore,950,150,PKG35,Mysore,200,Medium,1
FLEET36,Mysore,1050,250,PKG36,Mumbai,190,High,1
FLEET37,Mumbai,1000,200,PKG37,Delhi,180,Low,1
FLEET38,Delhi,1200,300,PKG38,Bangalore,230,Medium,1
FLEET39,Bangalore,900,100,PKG39,Chennai,140,High,1
FLEET40,Chennai,1100,400,PKG40,Hyderabad,250,Urgent,1
FLEET41,Hyderabad,950,150,PKG41,Pune,180,Medium,1
