packageId,destination,weight,priority
PKG001,Chennai,50,Medium
PKG002,Delhi,100,High
PKG003,Bengaluru,75,Low
PKG004,Ahmedabad,60,Urgent
PKG005,Mumbai,80,Medium
PKG006,Kolkata,55,High
PKG007,Hyderabad,90,Low
PKG008,Pune,65,Medium
PKG009,Jaipur,70,High
PKG010,Surat,85,Low
PKG011,Lucknow,95,Urgent
PKG012,Kanpur,60,Medium
PKG013,Nagpur,77,High
PKG014,Indore,68,Low
PKG015,Thane,82,Medium
PKG016,Bhopal,73,High
PKG017,Visakhapatnam,88,Low
PKG018,Patna,54,Medium
PKG019,Vadodara,79,High
PKG020,Ghaziabad,66,Low
PKG021,Ludhiana,92,Medium
PKG022,Agra,58,High
PKG023,Nashik,81,Low
PKG024,Faridabad,74,Medium
PKG025,Meerut,69,Urgent 
